Machine,Production,Order Operation No,Current,Humidity,Temperature,Flow,Job Temp,Voltage,Defect
TWLD23,E15002965,240,1.13,74,23,0.01,29.3,15.2,No Defect
TWLD23,E15002965,240,2.91,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,0.04,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,2.51,74,23,0,27.8,0,No Defect
TWLD23,E15002965,240,0.24,74,23,0,27.8,0,No Defect
TWLD23,E15002965,240,-0.9,74,23,0,27.8,0,No Defect
TWLD23,E15002965,240,2.61,74,23,0,28,0,No Defect
TWLD23,E15002965,240,10.51,74,23,0,28,9.062,No Defect
TWLD23,E15002965,240,2.35,74,23,0,28,0,No Defect
TWLD23,E15002965,240,0.84,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,2.4,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,-1.22,74,23,0.04,28.2,0,No Defect
TWLD23,E15002965,240,-0.99,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,2.1,74,23,0,28,0,No Defect
TWLD23,E15002965,240,0.73,74,23,0,28,0,No Defect
TWLD23,E15002965,240,2.85,74,23,0,28,0,No Defect
TWLD23,E15002965,240,2.5,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,5.42,74,23,0,28.2,13.025,No Defect
TWLD23,E15002965,240,5.8,74,23,0,28.2,13.744,No Defect
TWLD23,E15002965,240,9.44,74,23,0,28.2,10.852,No Defect
TWLD23,E15002965,240,10.73,74,23,0,28.1,9.994,No Defect
TWLD23,E15002965,240,12.82,74,23,0,28.1,9.354,No Defect
TWLD23,E15002965,240,15.32,74,23,0,28.1,9.361,No Defect
TWLD23,E15002965,240,15.09,74,23,0.01,28,9.204,No Defect
TWLD23,E15002965,240,17.63,74,23,0.01,28,9.169,No Defect
TWLD23,E15002965,240,16.78,74,23,0,29.2,9.024,No Defect
TWLD23,E15002965,240,18.47,74,23,0,29.2,8.937,No Defect
TWLD23,E15002965,240,15.33,74,23,0,28.3,8.779,No Defect
TWLD23,E15002965,240,0.61,74,23,0,28.3,8.976,No Defect
TWLD23,E15002965,240,-1.23,74,23,0,28.3,-2.397,No Defect
TWLD23,E15002965,240,3.5,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,6.73,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,16.24,74,23,0,28.1,10.542,No Defect
TWLD23,E15002965,240,21.77,74,23,0,28.1,8.84,No Defect
TWLD23,E15002965,240,23.78,74,23,0,28.1,8.653,No Defect
TWLD23,E15002965,240,1.44,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,1.68,74,23,0,28.1,0,No Defect
TWLD23,E15002965,240,-0.52,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,13.38,74,23,0,28.2,0,No Defect
TWLD23,E15002965,240,29.5,74,23,0,27.9,8.198,No Defect
TWLD23,E15002965,240,29.76,74,23,0,27.9,8.282,No Defect
TWLD23,E15002965,240,30.31,74,23,0,28.3,8.248,No Defect
TWLD23,E15002965,240,23.29,74,23,0,28.3,8.531,No Defect
TWLD23,E15002965,240,24.22,74,23,0,28.3,8.403,No Defect
TWLD23,E15002965,240,24.66,74,23,0,29,8.382,No Defect
TWLD23,E15002965,240,25.85,74,23,0,29,8.109,No Defect
TWLD23,E15002965,240,4.36,74,23,0,29.4,8.171,No Defect
TWLD23,E15002965,240,0.61,74,23,0,29.4,10.768,No Defect
TWLD23,E15002965,240,1.71,74,23,0,30.1,0,No Defect
TWLD23,E15002965,240,2.07,74,23,0,30.1,0,No Defect
TWLD23,E15002965,240,1.91,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,2.67,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,2,74,23,0,29,0,No Defect
TWLD23,E15002965,240,1.22,74,23,0,29,0,No Defect
TWLD23,E15002965,240,1.58,74,23,0,29,0,No Defect
TWLD23,E15002965,240,0.01,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,1,74,23,0,29.3,0,No Defect
TWLD23,E15002965,240,-0.98,74,23,0,28.4,0,No Defect
TWLD23,E15002965,240,-1.22,74,23,0,28.4,0,No Defect
TWLD23,E15002965,240,1.61,74,23,0,30.7,0,No Defect
TWLD23,E15002965,240,3.56,74,23,0,30.7,9.944,No Defect
TWLD23,E15002965,240,6.98,74,23,0,25.8,12.91,No Defect
TWLD23,E15002965,240,11.5,74,23,0,25.8,10.403,No Defect
TWLD23,E15002965,240,20.96,74,23,0.01,25.8,9.063,No Defect
TWLD23,E15002965,240,23.89,74,23,0,29.7,8.843,No Defect
TWLD23,E15002965,240,26.89,74,23,0,29.7,8.458,No Defect
TWLD23,E15002965,240,26.63,74,23,0.03,30.6,8.324,No Defect
TWLD23,E15002965,240,25.13,74,23,0.01,30.6,8.375,No Defect
TWLD23,E15002965,240,-1.03,74,23,0,32.2,9.513,No Defect
TWLD23,E15002965,240,-0.34,74,23,0.04,32.2,-2.56,No Defect
TWLD23,E15002965,240,1.06,74,23,0,33.9,0,No Defect
TWLD23,E15002965,240,2.98,74,23,0,33.9,0,No Defect
TWLD23,E15002965,240,12.27,74,23,0,33.9,12.269,No Defect
TWLD23,E15002965,240,22.01,74,23,0.01,101.3,9.261,No Defect
TWLD23,E15002965,240,31.91,74,23,0,101.3,8.531,No Defect
TWLD23,E15002965,240,31.99,74,23,0,31.5,8.522,No Defect
TWLD23,E15002965,240,32.42,73,23,0,31.5,8.348,No Defect
TWLD23,E15002965,240,22.63,73,23,0,33.3,-1.465,No Defect
TWLD23,E15002965,240,-1.87,73,23,0,33.3,0,No Defect
TWLD23,E15002965,240,0.79,74,23,0,33.5,0,No Defect
TWLD23,E15002965,240,0.47,74,23,0,33.5,0,No Defect
TWLD23,E15002965,240,13.01,74,23,0,33.5,11.476,No Defect
TWLD23,E15002965,240,26.25,74,23,0.04,28.4,8.692,No Defect
TWLD23,E15002965,240,33.06,74,23,0.01,28.4,8.258,No Defect
TWLD23,E15002965,240,36.39,74,23,0,33.3,8.22,No Defect
TWLD23,E15002965,240,35.55,74,23,0,33.3,8.307,No Defect
TWLD23,E15002965,240,35.5,74,23,0,35.8,8.368,No Defect
TWLD23,E15002965,240,35.8,73,23,0,35.8,8.283,No Defect
TWLD23,E15002965,240,35.7,73,23,0,35.8,8.335,No Defect
TWLD23,E15002965,240,36.17,73,23,0,38.5,8.334,No Defect
TWLD23,E15002965,240,6.77,73,23,0.03,38.5,8.313,No Defect
TWLD23,E15002965,240,-1.17,73,23,0,40.2,9.722,No Defect
TWLD23,E15002965,240,-0.11,73,23,0.02,40.2,0,No Defect
TWLD23,E15002965,240,0.06,73,23,0,39.8,0,No Defect
TWLD23,E15002965,240,2.21,73,23,0,39.8,0,No Defect
TWLD23,E15002965,240,1.67,73,23,0,39.8,0,No Defect
TWLD23,E15002965,240,1.35,73,23,0,36,0,No Defect
TWLD23,E15002965,240,8.21,73,23,0,36,12.317,No Defect
TWLD23,15003062,240,-0.9,57,24,0,33.8,0,No Defect
TWLD23,15003062,240,0.86,58,24,0,34.1,0,No Defect
TWLD23,15003062,240,0.26,58,24,0,34.1,0,No Defect
TWLD23,15003062,240,0.85,58,24,0,33.8,0,No Defect
TWLD23,15003062,240,0.61,58,24,0,33.8,0,No Defect
TWLD23,15003062,240,-0.64,57,24,0,33.7,0,No Defect
TWLD23,15003062,240,0.06,57,24,0.05,33.7,0,No Defect
TWLD23,15003062,240,1.08,57,24,0.04,33.7,0,No Defect
TWLD23,15003062,240,-0.69,57,24,0.11,34.7,0,No Defect
TWLD23,15003062,240,-1.11,57,24,0,34.7,0,No Defect
TWLD23,15003062,240,0.56,57,24,0,34.9,0,No Defect
TWLD23,15003062,240,0.48,57,24,0,34.9,0,No Defect
TWLD23,15003062,240,0.98,57,24,0,34,0,No Defect
TWLD23,15003062,240,1.65,57,24,0,34,0,No Defect
TWLD23,15003062,240,0.44,57,24,0.04,34,0,No Defect
TWLD23,15003062,240,-0.77,57,24,0.05,34,0,No Defect
TWLD23,15003062,240,0.33,58,24,0,34,0,No Defect
TWLD23,15003062,240,0.34,58,24,0,34,0,No Defect
TWLD23,E15003219,180,12.64,84,24,3.04,32.9,7.013,No Defect
TWLD23,E15003219,180,21,84,24,3.06,32.9,12.644,No Defect
TWLD23,E15003219,180,21.15,84,24,3.1,33.1,11.066,No Defect
TWLD23,E15003219,180,42.52,84,24,3.12,33.1,10.169,No Defect
TWLD23,E15003219,180,35.81,84,24,3.14,33.4,9.964,No Defect
TWLD23,E15003219,180,23.8,84,24,3.12,33.4,9.549,No Defect
TWLD23,E15003219,180,26.12,84,24,3.09,33.4,9.499,No Defect
TWLD23,E15003219,180,19.87,84,24,3.16,33.6,9.564,No Defect
TWLD23,E15003219,180,20.96,84,24,3.05,33.6,9.378,No Defect
TWLD23,E15003219,180,20.23,84,24,3.16,35.4,9.586,No Defect
TWLD23,E15003219,180,17.98,84,24,3.06,35.4,9.613,No Defect
TWLD23,E15003219,180,22,84,24,3.13,35.4,9.495,No Defect
TWLD23,E15003219,180,22.48,84,24,3.04,34.9,9.495,No Defect
TWLD23,E15003219,180,22.65,84,24,3.2,34.9,9.573,No Defect
TWLD23,E15003219,180,17.08,84,24,3.07,36.1,9.859,No Defect
TWLD23,E15003219,180,10.3,84,24,3.19,36.1,9.958,No Defect
TWLD23,E15003219,180,6.68,84,24,3.08,35.7,11.107,No Defect
TWLD23,E15003219,180,-1.63,84,24,3.08,35.7,13.91,No Defect
TWLD23,E15003219,180,1.46,84,24,3.07,36.5,0,No Defect
TWLD23,E15003219,180,-1.18,84,24,3.07,36.5,0,No Defect
TWLD23,E15003219,180,0.75,84,24,3.18,36.5,0,No Defect
TWLD23,E15003219,180,-0.63,84,24,3.18,35.7,0,No Defect
TWLD23,E15003219,180,3.3,84,24,3.11,35.7,0,No Defect
TWLD23,E15003200,240,21.73,68,129,0,35.7,8.889,No Defect
TWLD23,E15003200,240,11.58,68,129,0,35.4,8.874,No Defect
TWLD23,E15003200,240,18.96,68,26,0,35.4,8.926,No Defect
TWLD23,E15003200,240,17.49,68,26,0,34.8,8.926,No Defect
TWLD23,E15003200,240,14.03,68,26,0,34.8,10.152,No Defect
TWLD23,E15003200,240,15.11,68,26,0,34.8,9.909,No Defect
TWLD23,E15003200,240,15.54,68,26,0,34.1,9.186,No Defect
TWLD23,E15003200,240,7.05,68,26,0,34.1,9.318,No Defect
TWLD23,E15003200,240,1.93,68,26,0,35.3,14.194,No Defect